carrier	model	os_version	pre-install browser	Chrome for Android
docomo	SC-01C	2.2	"Mozilla/5.0 (Linux; U; Android 2.2; ja-jp; SC-01C Build/FROYO) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"	
docomo	SC-01C	2.3.3	"Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; SC-01C Build/GINGERBREAD) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"	
docomo	SC-01D	3.2	"Mozilla/5.0 (Linux; U; Android 3.2; ja-jp; SC-01D Build/MASTER.OMKI4)AppleWebKit/534.13 (KHTML, like Gecko) Version/4.0 Safari/534.13"	
docomo	SC-01D	4.0.4	"Mozilla/5.0 (Linux; U; Android 4.0.4; ja-jp; SC-01D Build/IMM76D) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Safari/534.30"	
docomo	SC-01E	4.0.4	"Mozilla/5.0 (Linux; U; Android 4.0.4; ja-jp; SC-01E Build/IMM76D) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Safari/534.30"	
docomo	SC-02B	2.3.3	"Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; SC-02B Build/GINGERBREAD) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"	
docomo	SC-02C	2.3.3	"Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; SC-02C Build/GINGERBREAD) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"	
docomo	SC-02C	4.0.3		"Mozilla/5.0 (Linux; Android 4.0.3; SC-02C Build/IML74K) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166 Mobile Safari/535.19"
docomo	SC-02D	3.2	"Mozilla/5.0 (Linux; U; Android 3.2; ja-jp; SC-02D Build/HTJ85B) AppleWebKit/534.13 (KHTML, like Gecko) Version/4.0 Safari/534.13"	
docomo	SC-02E	4.1.1	"Mozilla/5.0 (Linux; U; Android 4.1.1; ja-jp; SC-02E Build/JRO03C) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"	"Mozilla/5.0 (Linux; Android 4.1.1; SC-02E Build/JRO03C) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166 Mobile Safari/535.19"
docomo	SC-03D	2.3.6	"Mozilla/5.0 (Linux; U; Android 2.3.6; ja-jp; SC-03D Build/GINGERBREAD) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"	
docomo	SC-03D	4.0.4	"Mozilla/5.0 (Linux; U; Android 4.0.4; ja-jp; SC-03D Build/IMM76D) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"	
docomo	SC-03E	4.1.1	"Mozilla/5.0 (Linux; U; Android 4.1.1; ja-jp; SC-03E Build/JRO03C) ApplieWebkit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"	"Mozilla/5.0 (Linux; Android 4.1.1; SC-03E Build/JRO03C) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166 Mobile Safari/535.19"
docomo	SC-05D	2.3.6	"Mozilla/5.0 (Linux; U; Android 2.3.6; ja-jp; SC-05D Build/GINGERBREAD) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"	
docomo	SC-05D	4.0.4	"Mozilla/5.0 (Linux; U; Android 4.0.4; ja-jp; SC-05D Build/IMM76D) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"	
docomo	SC-06D	4.0.4	"Mozilla/5.0 (Linux; U; Android 4.0.4; ja-jp; SC-06D Build/IMM76D) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"	"Mozilla/5.0 (Linux; Android 4.0.4; SC-06D Build/IMM76D) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166 Mobile Safari/535.19"
docomo	SH-01D	2.3.5	"Mozilla/5.0 (Linux; U; Android 2.3.5; ja-jp; SH-01D Build/S2040) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"	
docomo	SH-01D	4.0.4	"Mozilla/5.0 (Linux; U; Android 4.0.4; ja-jp; SH-01D Build/R8230) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"	
docomo	SH-01E	4.0.4	"Mozilla/5.0 (Linux; U; Android 4.0.4; ja-jp; SH-01E Build/S9130) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"	
docomo	SH-01EVW	4.0.4	"Mozilla/5.0 (Linux; U; Android 4.0.4; ja-jp; SH-01EVW Build/SB020) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"	"Mozilla/5.0 (Linux; Android 4.0.4; SH-01EVW Build/SB020) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166 Mobile Safari/535.19"
docomo	SH-02D			
docomo	SH-02E	4.0.4	"Mozilla/5.0 (Linux; U; Android 4.0.4; ja-jp; SH-02E Build/SB140) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"	"Mozilla/5.0 (Linux; Android 4.0.4; SH-02E Build/SB140) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166 Mobile Safari/535.19"
docomo	SH-03C	2.2.2	"Mozilla/5.0 (Linux; U; Android 2.2.2; ja-jp; SH-03C Build/S3240) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"	
